Graph,Folder,V,E
501,traincsv,8,28
357,traincsv,9,36
672,traincsv,14,59
1457,traincsv,8,28
1179,traincsv,10,45
70,traincsv,12,36
1258,traincsv,36,390
1021,traincsv,10,25
156,traincsv,8,22
1370,traincsv,18,153
1056,traincsv,15,56
849,traincsv,8,28
895,traincsv,9,36
952,traincsv,7,18
1471,traincsv,12,36
1459,traincsv,10,25
1152,traincsv,9,21
656,traincsv,11,30
658,traincsv,7,21
221,traincsv,7,21
65,traincsv,29,102
714,traincsv,7,21
171,traincsv,7,12
1498,traincsv,8,28
525,traincsv,10,30
213,traincsv,13,46
1133,traincsv,12,66
1364,traincsv,8,16
1268,traincsv,7,21
448,traincsv,8,16
935,traincsv,7,21
1373,traincsv,7,21
882,traincsv,18,153
273,traincsv,10,25
1463,traincsv,8,28
360,traincsv,9,36
124,traincsv,8,26
751,traincsv,7,21
9,traincsv,22,67
868,traincsv,9,36
988,traincsv,8,16
596,traincsv,7,21
917,traincsv,9,21
505,traincsv,8,28
1295,traincsv,8,28
916,traincsv,34,96
696,traincsv,9,36
576,traincsv,30,435
72,traincsv,20,101
306,traincsv,7,21
718,traincsv,10,29
46,traincsv,9,36
1085,traincsv,8,28
1062,traincsv,12,38
725,traincsv,7,21
222,traincsv,9,20
1044,traincsv,12,66
1284,traincsv,7,21
494,traincsv,8,16
941,traincsv,48,404
618,traincsv,7,21
216,traincsv,7,21
1340,traincsv,20,76
498,traincsv,12,66
333,traincsv,27,72
1208,traincsv,19,87
1215,traincsv,7,21
1395,traincsv,11,47
426,traincsv,14,59
1477,traincsv,7,21
1321,traincsv,23,106
1342,traincsv,11,47
219,traincsv,8,28
1034,traincsv,9,36
103,traincsv,7,21
121,traincsv,7,13
514,traincsv,11,30
64,traincsv,10,27
294,traincsv,18,48
641,traincsv,8,28
594,traincsv,9,36
709,traincsv,32,496
695,traincsv,7,21
439,traincsv,7,21
42,traincsv,12,66
616,traincsv,8,16
1055,traincsv,8,28
977,traincsv,9,24
1104,traincsv,10,45
161,traincsv,8,16
1411,traincsv,10,45
467,traincsv,11,32
572,traincsv,9,36
1099,traincsv,10,27
1106,traincsv,7,19
106,traincsv,9,21
1151,traincsv,8,28
1319,traincsv,25,182
1263,traincsv,7,21
45,traincsv,19,45
1159,traincsv,8,28
1072,traincsv,13,42
823,traincsv,8,19
78,traincsv,17,48
1209,traincsv,40,326
254,traincsv,7,21
1045,traincsv,7,21
1293,traincsv,10,25
633,traincsv,22,163
1485,traincsv,12,66
824,traincsv,10,45
926,traincsv,9,27
535,traincsv,18,48
1318,traincsv,10,45
1184,traincsv,7,21
886,traincsv,21,58
1027,traincsv,9,36
94,traincsv,38,703
1435,traincsv,7,21
566,traincsv,8,28
1377,traincsv,7,21
608,traincsv,7,21
1073,traincsv,12,34
612,traincsv,7,21
1290,traincsv,30,135
637,traincsv,7,21
1348,traincsv,7,12
1015,traincsv,15,77
1390,traincsv,10,45
150,traincsv,11,55
1042,traincsv,17,88
901,traincsv,10,45
793,traincsv,21,51
859,traincsv,7,21
1241,traincsv,13,46
4,traincsv,10,27
687,traincsv,7,21
1145,traincsv,15,74
1149,traincsv,27,131
690,traincsv,9,36
402,traincsv,17,52
1221,traincsv,9,36
1489,traincsv,14,61
1481,traincsv,8,28
1312,traincsv,12,37
719,traincsv,7,21
503,traincsv,9,36
526,traincsv,10,29
740,traincsv,8,28
560,traincsv,7,21
622,traincsv,10,25
631,traincsv,7,21
1274,traincsv,8,28
828,traincsv,11,30
1077,traincsv,14,56
198,traincsv,20,74
1097,traincsv,12,34
210,traincsv,14,91
1110,traincsv,9,36
1275,traincsv,11,43
1024,traincsv,7,21
1406,traincsv,9,36
1262,traincsv,11,55
411,traincsv,7,21
574,traincsv,10,27
1499,traincsv,20,190
599,traincsv,33,441
285,traincsv,7,21
113,traincsv,7,21
1334,traincsv,13,44
686,traincsv,15,45
444,traincsv,8,16
777,traincsv,7,21
3,traincsv,7,21
132,traincsv,9,36
303,traincsv,7,21
2,traincsv,7,21
785,traincsv,13,31
1488,traincsv,14,91
979,traincsv,12,36
929,traincsv,7,21
586,traincsv,8,28
230,traincsv,14,91
878,traincsv,7,21
410,traincsv,13,42
769,traincsv,7,21
1150,traincsv,14,91
841,traincsv,7,21
264,traincsv,38,703
321,traincsv,8,28
840,traincsv,7,21
629,traincsv,17,41
20,traincsv,12,42
362,traincsv,9,36
575,traincsv,8,28
788,traincsv,7,21
1307,traincsv,8,28
409,traincsv,7,21
1403,traincsv,9,36
670,traincsv,9,36
1472,traincsv,33,122
1257,traincsv,14,50
642,traincsv,8,28
389,traincsv,9,36
933,traincsv,7,21
550,traincsv,18,87
1303,traincsv,9,36
256,traincsv,22,127
272,traincsv,30,122
1080,traincsv,21,101
284,traincsv,9,36
947,traincsv,11,30
1188,traincsv,10,45
164,traincsv,15,40
25,traincsv,22,52
584,traincsv,7,21
588,traincsv,18,45
1317,traincsv,7,21
1244,traincsv,8,28
1202,traincsv,17,136
1161,traincsv,20,190
1189,traincsv,8,28
1264,traincsv,8,28
1197,traincsv,14,59
1154,traincsv,8,28
130,traincsv,9,36
77,traincsv,10,45
1158,traincsv,8,28
29,traincsv,7,21
197,traincsv,8,28
355,traincsv,11,34
970,traincsv,9,21
1194,traincsv,10,45
338,traincsv,7,21
1043,traincsv,19,171
910,traincsv,7,21
172,traincsv,17,61
871,traincsv,7,21
533,traincsv,10,25
684,traincsv,7,21
1337,traincsv,7,21
193,traincsv,32,147
974,traincsv,12,26
944,traincsv,9,36
255,traincsv,8,28
288,traincsv,9,20
835,traincsv,7,21
818,traincsv,7,21
654,traincsv,60,982
615,traincsv,7,21
925,traincsv,12,36
552,traincsv,7,21
1245,traincsv,11,31
37,traincsv,16,70
805,traincsv,8,28
374,traincsv,11,31
297,traincsv,9,36
940,traincsv,10,29
930,traincsv,9,25
438,traincsv,9,36
261,traincsv,12,38
945,traincsv,11,30
548,traincsv,11,31
611,traincsv,13,42
1109,traincsv,20,190
855,traincsv,15,105
482,traincsv,14,56
